4 64 5 0.000000	0.999953 0.000140	0.000093 0.000280	0.000093 0.000280	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000093 0.000280	
4 64 5 0.010000	0.999903 0.000291	0.000194 0.000582	0.000090 0.000270	0.000090 0.000270	0.000000 0.000000	0.000000 0.000000	0.000194 0.000582	0.000000 0.000000	0.000090 0.000270	0.000090 0.000270	0.000090 0.000270	
4 64 5 0.020000	1.000000 0.000001	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	
4 64 5 0.030000	0.999930 0.000210	0.000140 0.000421	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000140 0.000421	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000036 0.000108	0.000036 0.000108	
4 64 5 0.040000	1.000000 0.000001	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	
4 64 5 0.050000	0.999999 0.000002	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	
4 64 5 0.060000	1.000000 0.000001	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	
4 64 5 0.070000	0.999985 0.000041	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	
4 64 5 0.080000	1.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	
4 64 5 0.090000	0.999946 0.000161	0.000107 0.000322	0.000000 0.000000	0.000107 0.000322	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	
4 64 5 0.100000	1.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	
4 64 5 0.110000	0.999997 0.000008	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	
4 64 5 0.120000	1.000000 0.000001	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	
4 64 5 0.130000	0.999981 0.000057	0.000038 0.000114	0.000038 0.000114	0.000038 0.000114	0.000038 0.000114	0.000000 0.000000	0.000000 0.000000	0.000038 0.000114	0.000000 0.000000	0.000038 0.000114	0.000000 0.000000	
4 64 5 0.140000	0.999999 0.000002	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	
4 64 5 0.150000	0.999576 0.001273	0.000848 0.002544	0.000000 0.000000	0.000744 0.002232	0.000327 0.000982	0.000119 0.000357	0.000119 0.000357	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000223 0.000669	
4 64 5 0.160000	0.998666 0.004001	0.002662 0.007985	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	
4 64 5 0.170000	0.999992 0.000023	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	
